113	-0.106600 0.046400 -0.060400 -0.012700 0.005700 -0.999903 -0.186801 -0.982403 -0.003300 -0.981053 0.192635 0.020589 -0.005191
112	-0.106600 0.046400 -0.060400 -0.186801 -0.982403 -0.003300 0.012700 -0.005700 0.999903 -0.981053 0.192635 0.020589 -0.002847
111	-0.106600 0.046400 -0.060400 -0.012700 0.005700 -0.999903 -0.186801 -0.982403 -0.003300 -0.981053 0.192635 0.020589 0.997065
122	-0.102000 0.063100 -0.025600 0.013600 0.001100 -0.999902 -0.282001 -0.959402 -0.004900 -0.965094 0.261903 -0.000343 -0.003551
123	-0.102000 0.063100 -0.025600 -0.282001 -0.959402 -0.004900 -0.013600 -0.001100 0.999902 -0.965094 0.261903 -0.000343 -0.004578
121	-0.102000 0.063100 -0.025600 0.013600 0.001100 -0.999902 -0.282001 -0.959402 -0.004900 -0.965094 0.261903 -0.000343 1.006119
132	-0.108500 0.030200 -0.026600 0.002600 0.002300 -0.999955 -0.095196 -0.995456 -0.002500 -0.995918 0.090158 -0.003134 -0.001662
133	-0.108500 0.030200 -0.026600 -0.095196 -0.995456 -0.002500 -0.002600 -0.002300 0.999955 -0.995918 0.090158 -0.003134 -0.006854
131	-0.108500 0.030200 -0.026600 0.002600 0.002300 -0.999955 -0.095196 -0.995456 -0.002500 -0.995918 0.090158 -0.003134 0.989554
143	-0.109900 0.013100 -0.062700 -0.012300 0.001800 -0.999923 -0.021200 -0.999823 -0.001600 -0.998961 0.030149 0.034157 -0.005005
142	-0.109900 0.013100 -0.062700 -0.021200 -0.999823 -0.001600 0.012300 -0.001800 0.999923 -0.998961 0.030149 0.034157 -0.002974
141	-0.109900 0.013100 -0.062700 -0.012300 0.001800 -0.999923 -0.021200 -0.999823 -0.001600 -0.998961 0.030149 0.034157 1.005394
213	-0.107400 0.032900 0.008000 -0.051198 0.007700 -0.998659 -0.101496 -0.994759 -0.002500 -0.992527 0.105390 0.061484 -0.007125
212	-0.107400 0.032900 0.008000 -0.101496 -0.994759 -0.002500 0.051198 -0.007700 0.998659 -0.992527 0.105390 0.061484 -0.004483
211	-0.107400 0.032900 0.008000 -0.051198 0.007700 -0.998659 -0.101496 -0.994759 -0.002500 -0.992527 0.105390 0.061484 1.001129
222	-0.098900 0.040300 0.041300 -0.343206 0.059801 -0.937415 -0.161803 -0.986816 -0.003700 -0.925515 0.151540 0.347043 -0.004845
223	-0.098900 0.040300 0.041300 -0.161803 -0.986816 -0.003700 0.343206 -0.059801 0.937415 -0.925515 0.151540 0.347043 -0.004755
221	-0.098900 0.040300 0.041300 -0.343206 0.059801 -0.937415 -0.161803 -0.986816 -0.003700 -0.925515 0.151540 0.347043 0.997445
232	-0.101100 0.004400 0.040800 -0.352103 0.008700 -0.935908 0.037800 -0.999009 -0.023500 -0.937077 -0.046928 0.345951 -0.001573
233	-0.101100 0.004400 0.040800 0.037800 -0.999009 -0.023500 0.352103 -0.008700 0.935908 -0.937077 -0.046928 0.345951 -0.005412
231	-0.101100 0.004400 0.040800 -0.352103 0.008700 -0.935908 0.037800 -0.999009 -0.023500 -0.937077 -0.046928 0.345951 0.998779
243	-0.108300 -0.001100 0.007100 -0.067199 -0.010400 -0.997685 0.084999 -0.996386 0.004700 -0.994252 -0.073658 0.077545 -0.007707
242	-0.108300 -0.001100 0.007100 0.084999 -0.996386 0.004700 0.067199 0.010400 0.997685 -0.994252 -0.073658 0.077545 -0.005717
241	-0.108300 -0.001100 0.007100 -0.067199 -0.010400 -0.997685 0.084999 -0.996386 0.004700 -0.994252 -0.073658 0.077545 1.000929
313	-0.086100 0.098800 0.009000 -0.035199 0.118196 -0.992366 -0.483584 -0.870970 -0.086597 -0.872906 0.479575 0.089625 -0.007416
312	-0.086100 0.098800 0.009000 -0.483584 -0.870970 -0.086597 0.035199 -0.118196 0.992366 -0.872906 0.479575 0.089625 -0.003768
311	-0.086100 0.098800 0.009000 -0.035199 0.118196 -0.992366 -0.483584 -0.870970 -0.086597 -0.872906 0.479575 0.089625 1.001160
322	-0.088700 0.075700 0.041200 -0.351594 0.118898 -0.928584 -0.370994 -0.928384 0.021600 -0.860505 0.353122 0.367194 -0.002484
323	-0.088700 0.075700 0.041200 -0.370994 -0.928384 0.021600 0.351594 -0.118898 0.928584 -0.860505 0.353122 0.367194 -0.006058
321	-0.088700 0.075700 0.041200 -0.351594 0.118898 -0.928584 -0.370994 -0.928384 0.021600 -0.860505 0.353122 0.367194 0.995371
333	-0.070200 0.075800 0.070700 -0.594240 0.228816 -0.771052 -0.385726 -0.922363 0.023502 -0.709643 0.319471 0.627967 -0.006405
332	-0.070200 0.075800 0.070700 -0.385726 -0.922363 0.023502 0.594240 -0.228816 0.771052 -0.709643 0.319471 0.627967 -0.002840
331	-0.070200 0.075800 0.070700 -0.594240 0.228816 -0.771052 -0.385726 -0.922363 0.023502 -0.709643 0.319471 0.627967 1.005603
343	-0.100300 0.065900 0.008100 -0.065802 0.024701 -0.997527 -0.288308 -0.957526 -0.004700 -0.954142 0.289132 0.077539 -0.006310
342	-0.100300 0.065900 0.008100 -0.288308 -0.957526 -0.004700 0.065802 -0.024701 0.997527 -0.954142 0.289132 0.077539 -0.002976
341	-0.100300 0.065900 0.008100 -0.065802 0.024701 -0.997527 -0.288308 -0.957526 -0.004700 -0.954142 0.289132 0.077539 0.995252
413	-0.080800 0.041300 0.072000 -0.642126 0.049002 -0.765031 -0.135706 -0.989540 0.050502 -0.759227 0.135193 0.636628 -0.004123
412	-0.080800 0.041300 0.072000 -0.135706 -0.989540 0.050502 0.642126 -0.049002 0.765031 -0.759227 0.135193 0.636628 -0.004827
411	-0.080800 0.041300 0.072000 -0.642126 0.049002 -0.765031 -0.135706 -0.989540 0.050502 -0.759227 0.135193 0.636628 0.998089
422	-0.052600 0.040600 0.095200 -0.874970 -0.019699 -0.483783 -0.054998 -0.988666 0.139695 -0.482482 0.151841 0.862644 -0.002485
423	-0.052600 0.040600 0.095200 -0.054998 -0.988666 0.139695 0.874970 0.019699 0.483783 -0.482482 0.151841 0.862644 -0.005301
421	-0.052600 0.040600 0.095200 -0.874970 -0.019699 -0.483783 -0.054998 -0.988666 0.139695 -0.482482 0.151841 0.862644 0.997138
432	-0.053700 0.005900 0.096900 -0.870267 -0.017799 -0.492081 0.028999 -0.999462 -0.015299 -0.496968 -0.030868 0.867217 -0.002442
433	-0.053700 0.005900 0.096900 0.028999 -0.999462 -0.015299 0.870267 0.017799 0.492081 -0.496968 -0.030868 0.867217 -0.004755
431	-0.053700 0.005900 0.096900 -0.870267 -0.017799 -0.492081 0.028999 -0.999462 -0.015299 -0.496968 -0.030868 0.867217 1.003221
443	-0.082900 0.006200 0.072800 -0.647316 0.002100 -0.762219 0.043201 -0.998325 -0.039401 -0.766142 -0.057969 0.640051 -0.005749
442	-0.082900 0.006200 0.072800 0.043201 -0.998325 -0.039401 0.647316 -0.002100 0.762219 -0.766142 -0.057969 0.640051 -0.002452
441	-0.082900 0.006200 0.072800 -0.647316 0.002100 -0.762219 0.043201 -0.998325 -0.039401 -0.766142 -0.057969 0.640051 0.999645
513	-0.063700 0.125400 0.013600 0.019400 0.216900 -0.976001 -0.783501 -0.603001 -0.149600 -0.609878 0.775389 0.163760 -0.006833
512	-0.063700 0.125400 0.013600 -0.783501 -0.603001 -0.149600 -0.019400 -0.216900 0.976001 -0.609878 0.775389 0.163760 -0.003171
511	-0.063700 0.125400 0.013600 0.019400 0.216900 -0.976001 -0.783501 -0.603001 -0.149600 -0.609878 0.775389 0.163760 1.005427
523	-0.033200 0.139700 0.017400 0.010600 0.218707 -0.975733 -0.957032 -0.280709 -0.073302 -0.290497 0.933988 0.208019 -0.006940
522	-0.033200 0.139700 0.017400 -0.957032 -0.280709 -0.073302 -0.010600 -0.218707 0.975733 -0.290497 0.933988 0.208019 -0.004077
521	-0.033200 0.139700 0.017400 0.010600 0.218707 -0.975733 -0.957032 -0.280709 -0.073302 -0.290497 0.933988 0.208019 0.995922
532	-0.033700 0.127400 0.048500 -0.052299 0.470092 -0.881084 -0.962183 -0.259895 -0.081599 -0.268892 0.842966 0.465944 -0.004054
533	-0.033700 0.127400 0.048500 -0.962183 -0.259895 -0.081599 0.052299 -0.470092 0.881084 -0.268892 0.842966 0.465944 -0.005360
531	-0.033700 0.127400 0.048500 -0.052299 0.470092 -0.881084 -0.962183 -0.259895 -0.081599 -0.268892 0.842966 0.465944 0.997926
542	-0.067200 0.108900 0.044300 -0.171191 0.377780 -0.909852 -0.709963 -0.687664 -0.151892 -0.688582 0.610333 0.391594 -0.002113
543	-0.067200 0.108900 0.044300 -0.709963 -0.687664 -0.151892 0.171191 -0.377780 0.909852 -0.688582 0.610333 0.391594 -0.004044
541	-0.067200 0.108900 0.044300 -0.171191 0.377780 -0.909852 -0.709963 -0.687664 -0.151892 -0.688582 0.610333 0.391594 0.999334
613	-0.035800 0.104800 0.075000 -0.009500 0.770803 -0.637003 -0.954604 -0.196601 -0.223701 -0.288846 0.614473 0.734160 -0.004074
612	-0.035800 0.104800 0.075000 -0.954604 -0.196601 -0.223701 0.009500 -0.770803 0.637003 -0.288846 0.614473 0.734160 -0.004658
611	-0.035800 0.104800 0.075000 -0.009500 0.770803 -0.637003 -0.954604 -0.196601 -0.223701 -0.288846 0.614473 0.734160 0.999904
622	0.000100 0.077500 0.096700 0.000200 0.917700 -0.397400 -1.000000 0.000400 0.000200 0.000353 0.402159 0.915569 -0.002365
623	0.000100 0.077500 0.096700 -1.000000 0.000400 0.000200 -0.000200 -0.917700 0.397400 0.000353 0.402159 0.915569 -0.006411
621	0.000100 0.077500 0.096700 0.000200 0.917700 -0.397400 -1.000000 0.000400 0.000200 0.000353 0.402159 0.915569 0.997486
633	-0.018400 0.044000 0.106300 0.006700 0.983663 -0.179893 -0.990063 -0.018599 -0.139095 -0.136778 0.185353 0.973106 -0.005682
632	-0.018400 0.044000 0.106300 -0.990063 -0.018599 -0.139095 -0.006700 -0.983663 0.179893 -0.136778 0.185353 0.973106 -0.002012
631	-0.018400 0.044000 0.106300 0.006700 0.983663 -0.179893 -0.990063 -0.018599 -0.139095 -0.136778 0.185353 0.973106 0.999417
642	-0.036800 0.075300 0.092200 -0.025099 0.896459 -0.442380 -0.950857 -0.157993 -0.266288 -0.309200 0.411780 0.857222 -0.001696
643	-0.036800 0.075300 0.092200 -0.950857 -0.157993 -0.266288 0.025099 -0.896459 0.442380 -0.309200 0.411780 0.857222 -0.005534
641	-0.036800 0.075300 0.092200 -0.025099 0.896459 -0.442380 -0.950857 -0.157993 -0.266288 -0.309200 0.411780 0.857222 1.007280
713	-0.018500 0.010500 0.109600 -0.990008 -0.012000 -0.140501 0.013700 -0.999808 -0.011400 -0.149388 -0.009364 0.988733 -0.005878
712	-0.018500 0.010500 0.109600 0.013700 -0.999808 -0.011400 0.990008 0.012000 0.140501 -0.149388 -0.009364 0.988733 -0.001236
711	-0.018500 0.010500 0.109600 -0.990008 -0.012000 -0.140501 0.013700 -0.999808 -0.011400 -0.149388 -0.009364 0.988733 1.001028
723	0.018600 0.010500 0.109600 0.988752 -0.007200 -0.149393 0.001100 0.999151 -0.040798 0.151194 0.034011 0.987916 -0.003231
722	0.018600 0.010500 0.109600 0.001100 0.999151 -0.040798 -0.988752 0.007200 0.149393 0.151194 0.034011 0.987916 -0.002799
721	0.018600 0.010500 0.109600 0.988752 -0.007200 -0.149393 0.001100 0.999151 -0.040798 0.151194 0.034011 0.987916 1.004226
